Rank,sport,FIS,Last,First,NOC,5,6,7,8,8 1,8 2,9,10,11,12,13,source_pdf,page,14,15,16,17,18,19,20,21,22,23
66,Alpine Men,6522128,NEGOMIR,Kyle,USA,126196167,32,0,59,59,,30,,,,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
67,Alpine Men,6201574,SALA,Tommaso,ITA,124,1963,0,124,124,,22,-,,,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
68,Alpine Men,180877,LEHTO,Elian,FIN,123,1964,109,20,(20),,:,14,62,,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
68,Alpine Men,380377,KOLEGA,Samuel,CRO,123-1964,,123,23,(23),,:,,,,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
70,Alpine Men,54630,STURM,Joshua,AUT,122.1965,,65,33,(33),,57,28,0,,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
72,Alpine Men,20398,VERDU,Joan,AND,1171970,,0,117,117,,22,0,,,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
73,Alpine Men,422899,SANDVIK,Oscar,ANDREAS,NOR,114.1973,0,98,98,,27,16,41,:,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
74,Alpine Men,202883,GRAMMEL,Anton,GER,113.1974,,0,113,113,,23,0,,,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
76,Alpine Men,12228,KOHLER,Marco,SUI,109,1978,96.69,31,(31),,,0,40,33,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
77,Alpine Men,202762,JOCHER,Simon,GER,107,1980,45,36,(36),,:,62,28,,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
78,Alpine Men,512527,MIGGIANO,Alessio,SUI,105,1982,95,23,(23),,:,10,67,,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
79,Alpine Men,221236,TAYLOR,Lauri,GBR,1041983,,104,25,(25),,:,,,,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
79,Alpine Men,502617,AX,SWARTZ,FABIAN,SWE,1041983,0,72,72,,31,32,36,:,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
81,Alpine Men,512353,ITEN,Matthias,SUI,94,1993,0,94,94,,28,0,,,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
82,Alpine Men,202597,SCHMID,Alexander,GER,90,1997,0,0,,,90,25,0,,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
83,Alpine Men,6190176,BAILET,Matthieu,FRA,86,2001,24,46,(46),,:,62,28,,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
83,Alpine Men,54252,RASCHNER,Dominik,AUT,86,2001,0,86,86,,29,0,,,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
83,Alpine Men,512281,ROESTI,Lars,SUI,86,2001,76,28,(28),,S,0,10,67,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
86,Alpine Men,990116,de,ALIPRANDINI,LUCA,ITA,85,2002,0,,,:,85,26,:,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
86,Alpine Men,422766,STEEN,OLSEN,ALEXANDER,NOR,85,2002,0,,,16,49,69,27,:,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
88,Alpine Men,54093,STROLZ,Johannes,AUT,75,2012,0,75,75,,30,,0,,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
90,Alpine Men,194298,GIEZENDANNER,Blaise,FRA,,2016,45,36,(36),,:,26,41,,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
91,Alpine Men,203096,VOGT,Luis,GER,70,2017,65,33,(33),,:,5,64,,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
92,Alpine Men,51218,BAUMANN,Romed,GER,69,2018,40,38,(38),,-,0,29,40,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
93,Alpine Men,6592592,RITCHIE,Benjamin,USA,66,2021,0,66,66,,32,0,,,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
94,Alpine Men,422873,GRAHL-MADSEN,Hans,NOR,62,2025,0,62,62,,34,0,,,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
95,Alpine Men,192746,THEAUX,Adrien,FRA,61,2026,,52,52,,34,0,9,60,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
96,Alpine Men,990048,BORSOTTI,Giovanni,ITA,56,2031,0,0,,,56,30,-,,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
96,Alpine Men,54438,PLOIER,Andreas,AUT,56,2031,34,41,(41),,:,22,45,,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
96,Alpine Men,221223,MAJOR,Billy,GBR,56,2031,0,56,56,,35,0,,,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
99,Alpine Men,502015,JAKOBSEN,Kristoffer,SWE,51,2036,0,51,51,,36,0,,,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
100,Alpine Men,501987,MONSEN,Felix,SWE,50,2037,37,40,(40),,~~,0,13,64,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
