Rank,sport,FIS,Last,First,NOC,5,6,7,8,8 1,8 2,9,10,11,12,13,source_pdf,page,14,15,16,17,18,19,20,21,22,23
28,Other,_,ALEVALVAR,Johannes,,,,3:37.9],21[,=21[,,11:16.5|,27,27|__22:10.2|,_+1:34.0],60.83,CCSM10KMIS------------FNL-000100--__C73A_1.0.pdf,1,,,,,,,,,,
91,Other,_,FROMMELT,ROBIN,,,403.8,_81|,1301.1],1301.1],,86],89|,_26.08.1|,__+5:31.9/,214.79,CCSM10KMIS------------FNL-000100--__C73A_1.0.pdf,2,,,,,,,,,,
92,Other,_87|,ENDRESTAD,Sebastian,CHI,4:04.4[,82,13:07.8],88|,88|,,94],26:21.0|,_+5:44.8|,223.14,,CCSM10KMIS------------FNL-000100--__C73A_1.0.pdf,2,,,,,,,,,,
21,Other,_29[,NEPRYAEVA,Dariya,AIN,4:13.0[,22,12:39.2,24:45.0|,24,45.0|,_+1:55.8|,67.66,,,,CCSW10KMIS------------FNL-000100--__C73A_1.0.pdf,1,,,,,,,,,,
24,Other,_,PRYCE,ANNA,GBR,,,440.3,13|,13,,12:39.8],19,21:35.9|,22|,24:55.1[,CCSW10KMIS------------FNL-000100--__C73A_1.0.pdf,1,_+2:05.9|,73.56,,,,,,,,
51,Other,__,GAL,MELISSA,FRA,,414.2,25,13:09.0],13,09.0],39],50,26:08.0|,_+3:18.8],116.16,CCSW10KMIS------------FNL-000100--__C73A_1.0.pdf,2,,,,,,,,,,
65,Other,_78|,MYHAL,Daryna,UKR,4:41.0[,73,13:48.2|,67|,67|,,67|__26:51.2|,_,+4:02.0|,141.4,,CCSW10KMIS------------FNL-000100--__C73A_1.0.pdf,2,,,,,,,,,,
95,Other,_,MEDJA,LUCIJA,SLO,,511.7,101|,15:36.7|,15,36.7|,100,96],30:14.6|,_+7:25.4|,260.24,CCSW10KMIS------------FNL-000100--__C73A_1.0.pdf,2,,,,,,,,,,
96,Other,_,REITDELIA,loana,,,,5.00.3],92|,92|,,15:27.7|,97,95],30:18.3|,__+7:29.1|,CCSW10KMIS------------FNL-000100--__C73A_1.0.pdf,2,262.4,,,,,,,,,
1,Other,4,LEMLEY,ELIZABETH,USA,,2006,80.95,2,79.02,,4,82.3,,1000,,FRSWMO----------------------------__C74M_1.0.pdf,1,,,,,,,,,,
2,Other,7,KAUF,JAELIN,USA,,1996,53.38,27,77.18,,2,80.13,2,80.77,800,FRSWMO----------------------------__C74M_1.0.pdf,1,,,,,,,,,,
3,Other,11,LAFFONT,PERRINE,FRA,,1998,79.47,4,76.21,,8,78,,600,,FRSWMO----------------------------__C74M_1.0.pdf,1,,,,,,,,,,
4,Other,6,TOMITAKA,HINAKO,JPN,,2000,75.28,5,79.42,,3,78,,500,,FRSWMO----------------------------__C74M_1.0.pdf,1,,,,,,,,,,
5,Other,2533204,SCHWINGHAMMER,Maia,CAN,,2001,74.9,6,77.18,,6,77.61,,450,,FRSWMO----------------------------__C74M_1.0.pdf,1,,,,,,,,,,
6,Other,12,WILSON,CHARLOTTE,AUS,,2005,49.95,28,77.79,,1,78.38,8,75.17,400,FRSWMO----------------------------__C74M_1.0.pdf,1,,,,,,,,,,
7,Other,2529074,CARROLL,Avital,AUT,,1996,71.6,11,76.49,,3,76.39,7,71.89,360,FRSWMO----------------------------__C74M_1.0.pdf,1,,,,,,,,,,
8,Other,1,ANTHONY,JAKARA,AUS,,1998,81.65,1,83.96,,1,60.81,,320,,FRSWMO----------------------------__C74M_1.0.pdf,1,,,,,,,,,,
9,Other,3,GIACCIO,OLIVIA,USA,,2000,80.74,3,75.81,,9,,,290,,FRSWMO----------------------------__C74M_1.0.pdf,1,,,,,,,,,,
10,Other,2,JOHNSON,TESS,USA,,2000,73.79,9,75.31,,10,,,260,,FRSWMO----------------------------__C74M_1.0.pdf,1,,,,,,,,,,
14,Other,10,FUJIKI,HINA,JPN,,2001,65.89,19,70.06,,8,73.24,11,240,,FRSWMO----------------------------__C74M_1.0.pdf,1,,,,,,,,,,
12,Other,17,DESMARAIS-GILBERT,LAURIANNE,CAN,,1997,74.13,8,72.65,,12,,,220,,FRSWMO----------------------------__C74M_1.0.pdf,1,,,,,,,,,,
13,Other,20,YANAGIMOTO,RINO,JPN,,2000,68.49,16,73.35,,4,72.49,13,200,,FRSWMO----------------------------__C74M_1.0.pdf,1,,,,,,,,,,
14,Other,14,GALYSHEVA,YULIYA,KAZ,,1992,69.6,14,73.08,,5,72.34,14,180,,FRSWMO----------------------------__C74M_1.0.pdf,1,,,,,,,,,,
15,Other,5,GORODKO,ANASTASSIYA,KAZ,,2005,70.98,12,71.52,,7,72.15,15,160,,FRSWMO----------------------------__C74M_1.0.pdf,1,,,,,,,,,,
16,Other,23,KOEHLER,ASHLEY,CAN,,2003,70.7,13,69.61,,9,71.39,16,150,,FRSWMO----------------------------__C74M_1.0.pdf,1,,,,,,,,,,
17,Other,18,NAKAO,HARUKA,JPN,,2001,74.71.,7,70.89,,17,,,140,,FRSWMO----------------------------__C74M_1.0.pdf,1,,,,,,,,,,
18,Other,15,AMRENOVA,AYAULYM,KAZ,,2001,63.5,20,68.98,,10,68.47,18,130,,FRSWMO----------------------------__C74M_1.0.pdf,1,,,,,,,,,,
19,Other,13,LINTON,JESSICA,CAN,,2001,69.21,15,72.89,,6,67.04,19,120,,FRSWMO----------------------------__C74M_1.0.pdf,1,,,,,,,,,,
20,Other,16,CABROL,CAMILLE,FRA,,1997,73.07,10,61.43,,20,,,110,,FRSWMO----------------------------__C74M_1.0.pdf,1,,,,,,,,,,
21,Other,21,BOSCO,EMMA,AUS,,2002,66.58,17,62.48,,14,,,100,,FRSWMO----------------------------__C74M_1.0.pdf,1,,,,,,,,,,
22,Other,24,GERKEN,SCHOFIELD,,,1999,,66.38,66.17,,11,,,90,,FRSWMO----------------------------__C74M_1.0.pdf,1,,,,,,,,,,
23,Other,22,DUAUX,MARIE,FRA,,2004,59,22,65.13,,12,,,80,,FRSWMO----------------------------__C74M_1.0.pdf,1,,,,,,,,,,
24,Other,30,YUN,SHINEE,KOR,,2007,59.4,21,64.46,,13,,,70,,FRSWMO----------------------------__C74M_1.0.pdf,1,,,,,,,,,,
25,Other,19,LUNDHOLM,ELIS,SWE,,2002,12.05,29,59.22,,15,,,60,,FRSWMO----------------------------__C74M_1.0.pdf,1,,,,,,,,,,
26,Other,26,RAMSAUER,KATHARINA,AUT,,19.95,58.93,23,59.19,,16,,,50,,FRSWMO----------------------------__C74M_1.0.pdf,1,,,,,,,,,,
27,Other,25,MALHERBE,MALICA,RSA,,2004,55.85,25,58.86,,17,,,45,,FRSWMO----------------------------__C74M_1.0.pdf,1,,,,,,,,,,
28,Other,27,YANG,YA,CHN,,2003,57.6,24,57.72,,18,,,40,,FRSWMO----------------------------__C74M_1.0.pdf,1,,,,,,,,,,
29,Other,28,LI,Ruilin,,,2006,53.45,26,52.83,,19,,,36,,FRSWMO----------------------------__C74M_1.0.pdf,1,,,,,,,,,,
29,Other,2537886,PASSARETTA,Manuela,ITA,,2006,DNS,,,,,,,,,FRSWMO----------------------------__C74M_1.0.pdf,1,,,,,,,,,,
1,Other,2,MADEROVA,ZUZANA,CZE,,2003,1000,,,,,,,,,SBDWPGS---------------------------__C74P_1.0.pdf,1,,,,,,,,,,
2,Other,9,PAYER,SABINE,AUT,,1992,800,,,,,,,,,SBDWPGS---------------------------__C74P_1.0.pdf,1,,,,,,,,,,
4,Other,6,CAFFONT,ELISA,ITA,,1999,500,,,,,,,,,SBDWPGS---------------------------__C74P_1.0.pdf,1,,,,,,,,,,
5,Other,1,LEDECKA,ESTER,CZE,,1995,45.04.,45.75,45.75,,1:30.79,450,,,,SBDWPGS---------------------------__C74P_1.0.pdf,1,,,,,,,,,,
6,Other,3,MIKI,TSUBAKI,JPN,,2003,45.62,47.25,47.25,,1:32.87,400,,,,SBDWPGS---------------------------__C74P_1.0.pdf,1,,,,,,,,,,
7,Other,5,KROL-WALAS,ALEKSANDRA,POL,,1990,46.81,46.37,46.37,,,360,,,,SBDWPGS---------------------------__C74P_1.0.pdf,1,,,,,,,,,,
8,Other,7,HOFMEISTER,RAMONA-Theresia,,,1996,46.72,46.72,46.75,,1:33.47,320,,,,SBDWPGS---------------------------__C74P_1.0.pdf,1,,,,,,,,,,
9,Other,8,DEKKER,MICHELLE,NED,,1996,46.22.,47.41,47.41,,1:33.63,290,,,,SBDWPGS---------------------------__C74P_1.0.pdf,1,,,,,,,,,,
10,Other,10,ZAMFIROVA,MALENA,BUL,,2009,46.89,46.89,47.4,,1:34.29,260,,,,SBDWPGS---------------------------__C74P_1.0.pdf,1,,,,,,,,,,
11,Other,11,ZOGG,JULIE,SUI,,1992,47.69,46.67,46.67,,1:34.36,240,,,,SBDWPGS---------------------------__C74P_1.0.pdf,1,,,,,,,,,,
12,Other,12,MOISAN,Aurelie,,,2005,48.24,48.24,46.32,,,220,,,,SBDWPGS---------------------------__C74P_1.0.pdf,1,,,,,,,,,,
13,Other,13,CORATTI,JASMIN,ITA,,2001,47.3,47.3,47.7,,1:35.00,200,,,,SBDWPGS---------------------------__C74P_1.0.pdf,1,,,,,,,,,,
14,Other,14,BUCK,KAYLIE,CAN,,2000,47.96,47.38,47.38,,1:35.34,180,,,,SBDWPGS---------------------------__C74P_1.0.pdf,1,,,,,,,,,,
15,Other,15,LOCH,CHEYENNE,GER,,1994,48.5,46.9,46.9,,1:35.40,160,,,,SBDWPGS---------------------------__C74P_1.0.pdf,1,,,,,,,,,,
16,Other,16,RIEGLER,CLAUDIA,AUT,,1973,47.35,48.08,48.08,,1:36.43,150,,,,SBDWPGS---------------------------__C74P_1.0.pdf,1,,,,,,,,,,
17,Other,34,KOTNIK,GLORIA,SLO,,1989,47.66,47.77,47.77,,,140,,,,SBDWPGS---------------------------__C74P_1.0.pdf,1,,,,,,,,,,
48,Other,37,BAETSCHI FLURINA,Neva,,,2003,48.01,48.01,47.67,,,130,,,,SBDWPGS---------------------------__C74P_1.0.pdf,1,,,,,,,,,,
19,Other,45,SIEBENTHAL von,Xenia,,,2007,47.84,47.84,48.02,,,120,,,,SBDWPGS---------------------------__C74P_1.0.pdf,1,,,,,,,,,,
20,Other,38,HOCHREITER,MELANIE,GER,,1996,47.8,48.84,48.84,,,110,,,,SBDWPGS---------------------------__C74P_1.0.pdf,1,,,,,,,,,,
21,Other,41,GONG,NAIYING,CHN,,1998,48.74,48.12,48.12,,,100,,,,SBDWPGS---------------------------__C74P_1.0.pdf,1,,,,,,,,,,
22,Other,39,TAKEUCHI,TOMOKA,JPN,,1983,48,48.88,48.88,,,90,,,,SBDWPGS---------------------------__C74P_1.0.pdf,1,,,,,,,,,,
23,Other,35,ANKELE,MARTINA,AUT,,2002,49,48.58,48.58,,,80,,,,SBDWPGS---------------------------__C74P_1.0.pdf,1,,,,,,,,,,
23,Other,23°-9815102_,CAVIEZEL,Ladina,SUI,,1993,48.88,48.7,48.7,,,80,,,,SBDWPGS---------------------------__C74P_1.0.pdf,1,,,,,,,,,,
25,Other,46,DONG,YUYUE,CHN,,2008,49.35,49.35,48.79,,,60,,,,SBDWPGS---------------------------__C74P_1.0.pdf,1,,,,,,,,,,
26,Other,47,SCHEID,MATHILDA,GER,,2008,49.12,49.12,49.51,,,50,,,,SBDWPGS---------------------------__C74P_1.0.pdf,1,,,,,,,,,,
27,Other,43,BUKOWSKACHYC,MARIA,POL,,1999,49.34,49.83,49.83,,,45,,,,SBDWPGS---------------------------__C74P_1.0.pdf,1,,,,,,,,,,
28,Other,42°,BAI,XINHUI,CHN,,2002,47.56,51.66,=,,,40,,,,SBDWPGS---------------------------__C74P_1.0.pdf,1,,,,,,,,,,
29,Other,24,DANCHA,Annamari,,,1990,49.39,49.39,50,,,36,,,,SBDWPGS---------------------------__C74P_1.0.pdf,1,,,,,,,,,,
30,Other,40,PFLUM,IRIS,USA,,2003,50.42,49.66,49.66,,,,,,,SBDWPGS---------------------------__C74P_1.0.pdf,1,,,,,,,,,,
31,Other,44,JEONG,HAERIM,KOR,,19.95,49.78,50.77,50.77,,,,,,,SBDWPGS---------------------------__C74P_1.0.pdf,1,,,,,,,,,,
8,Other,FEB,SNOW,Park,,,,6185,,,,,,,,,SBDWPGS---------------------------__C74P_1.0.pdf,1,,,,,,,,,,
40,Other,|SUNDAL,Kristoffer,Eriksen,NOR,35,3,ae,57,57,,ms,_,1,‘,OA,SJPMNHTRAIN-----------TRNO0100SJ--__C73A_1.0.pdf,2,3,-3,a,112,ms,,,,,
22,Other,|EMBACHER,Stephan,AUT,,10,,33,wi,wi,,ms,1025,13,8,5,SJPMNHTRAIN-----------TRNO0100SJ--__C73A_1.0.pdf,2,3,120,i,88,7,,,,,
48,Other,NIKAIDO,Ren,JPN,,ons,,or,m7,m7,,war,oad,13,0.08,al,SJPMNHTRAIN-----------TRNO0100SJ--__C73A_1.0.pdf,2,3,oon,i,98,704,,,,,
7,Other,Base,Values,Temperature,,Humidity,,Tan.,Wind,Wind,,[m/s],,,,,SJPMNHTRAIN-----------TRNO0100SJ--__C73A_1.0.pdf,3,,,,,,,,,,
14,Other,_0.76m,,,,965,,103.0},99.4,99.4,,|,84.7,|,85.5,|,SJPMNHTRAIN-----------TRNO0100SJ--__C73A_1.0.pdf,3,85.1,,,,,,,,,
60,Other,points,are,awarded,FOR,jumping,,K-point,distance.,distance.,,2,points/metre,are,added,to,SJPMNHTRAIN-----------TRNO0100SJ--__C73A_1.0.pdf,3,(or,subtracted,from),the,athlete's,total,points,for,the,jump's
38,Other,|,TOMASIAK,Kacper,POL,“ae,88,8,1,1,,ms,an,wae,a,oe,SJPMNHTRAIN-----------TRNO0200SJ--__C73A_1.0.pdf,2,7°,DNS,,,,,,,,
43,Other,HOFEMANN,Feix,GER,MS,ors,73,88,ora,ora,,861,28,a,88,87,SJPMNHTRAIN-----------TRNO0200SJ--__C73A_1.0.pdf,2,waa,ims,16,“a8,4,,,,,
45,Other,|RAIMUND,Philipp,GER,A,ono,73,8,758,758,,v4,m0,a,7,a3,SJPMNHTRAIN-----------TRNO0200SJ--__C73A_1.0.pdf,2,ad,‘080,16,Orr,4,,,,,
16,Other,075m],,,,905,,105.5,|,|,,99.4,|,85.3,|,86.6,SJPMNHTRAIN-----------TRNO0200SJ--__C73A_1.0.pdf,3,|,86,,,,,,,,
20,Other,454m],,,,800,,99.5,|,|,,91.5,|,87,|,87.9,SJPWNHTRAIN-----------TRNO0100SJ--__C73A_1.0.pdf,3,|,87.4,,,,,,,,
22,Other,-3.03m],,,,84,,93,|,|,,894,|,87.8,|,89,SJPWNHTRAIN-----------TRNO0100SJ--__C73A_1.0.pdf,3,|,88.3,,,,,,,,
24,Other,15im],,o,,795,,97.5,|,|,,88.2,|,88.4,|,99.2,SJPWNHTRAIN-----------TRNO0100SJ--__C73A_1.0.pdf,3,|,889,,,,,,,,
20,Other,-15im],,,,900,,100.5,95.6,95.6,,|,87,|,88.3,|,SJPWNHTRAIN-----------TRNO0100SJ--__C73A_1.0.pdf,3,87.6,,,,,,,,,
21,Other,-0.75m,,o,,875,,98,|,|,,o46,|,87.4,|,98.1,SJPWNHTRAIN-----------TRNO0100SJ--__C73A_1.0.pdf,3,|,87.8,,,,,,,,
19,Other,-2.26m,,,,100.5,,100.5,|,|,,100.5,|,87.8,|,878,SJPWNHTRAIN-----------TRNO0100SJ--__C73A_1.0.pdf,3,|,87.8,,,,,,,,
23,Other,076m],,,,88,,108,|,|,,94.4,|,87,|,a8.4,SJPWNHTRAIN-----------TRNO0200SJ--__C73A_1.0.pdf,3,|,87.7,,,,,,,,
25,Other,227m],,o,,745,,96.5,|,|,,88.5,|,87.1,|,89.2,SJPWNHTRAIN-----------TRNO0200SJ--__C73A_1.0.pdf,3,|,88.4,,,,,,,,
49,Other,,MARUYAMA,Nozomi,JPN,PNS,DNS,,,,,,,,,,SJPWNHTRAIN-----------TRNO0300SJ--__C73A_1.0.pdf,2,,,,,,,,,,
9,Other,GBR,WYATT,Marcus,,3,47.12,7,95.79,95.79,,3,115.31,11,124.56,9,SKNMSINGLES-----------FNL---------__C77D_4.0.pdf,2,56.52,(7),,,,,,,,
10,Other,KOR,JUNG,Seunggi,,12,46.72,12,95.28,95.28,,11,117.03,1,124.82,7,SKNMSINGLES-----------FNL---------__C77D_4.0.pdf,2,56.57,(9),,,,,,,,
11,Other,DEN,VESTERGAARD,JOHANSEN,RASMUS,4.57,9,47.08,9,(9),,95.59,4,114.5015,124.3010,56.82,SKNMSINGLES-----------FNL---------__C77D_4.0.pdf,2,(11),,,,,,,,,
12,Other,USA,FLORIAN,Austin,,1,47.56,1,94.29,94.29,,17,114.6413,123.28,15,56.95,SKNMSINGLES-----------FNL---------__C77D_4.0.pdf,2,(14),,,,,,,,,
13,Other,ITA,GASPARI,Mattia,,46.02,19,95.33,9,(=9),,116.12,5,124.91,6,56.73,SKNMSINGLES-----------FNL---------__C77D_4.0.pdf,2,(10),,,,,,,,,
14,Other,AUT,MAIER,Samuel,,15,46.54,14,95.59,95.59,,4,115.68,10,123.62,14,SKNMSINGLES-----------FNL---------__C77D_4.0.pdf,2,56.89(=12),,,,,,,,,
15,Other,SUI,BUFF,Vinzenz,,21,45.93,22,94.33,94.33,,16,114.6413,124.05,12,57.27,SKNMSINGLES-----------FNL---------__C77D_4.0.pdf,2,(16),,,,,,,,,
16,Other,KOR,KIM,Jisoo,,6,47.24,4,94.53,94.53,,12,114.28,18,121.86,20,SKNMSINGLES-----------FNL---------__C77D_4.0.pdf,2,57.15,(15),,,,,,,,
17,Other,AUT,AUER,Florian,,24,45.85,23,113.4921,113.49(=21),,122.95,16,57.53,19,,SKNMSINGLES-----------FNL---------__C77D_4.0.pdf,2,,,,,,,,,,
18,Other,LAT,INDRIKSONS,Emils,,14,46.35,15,93.75,93.75,,20,114.5015,122.36,17,57.29,SKNMSINGLES-----------FNL---------__C77D_4.0.pdf,3,(17),,,,,,,,,
19,Other,FRA,DEFAYET,Lucas,,17,46.0120,93.65,21,(21),,114.43,17,121.78,21,57.63,SKNMSINGLES-----------FNL---------__C77D_4.0.pdf,3,(20),,,,,,,,,
20,Other,USA,BAREFOOT,Daniel,,46.23,16,94.14,18,(18),,113.92,20,122.11,18,57.47,SKNMSINGLES-----------FNL---------__C77D_4.0.pdf,3,(18),,,,,,,,,
21,Other,AUS,TIMMINGS,Nicholas,,23,46.15,17,91.83,91.83,,24,113.42,23,121.95,19,SKNMSINGLES-----------FNL---------__C77D_4.0.pdf,3,58.26,(24),,,,,,,,
22,Other,ISR,FIRESTONE,Jared,,22,45.78,24,93.89,93.89,,19,114.21,19,119.44,23,SKNMSINGLES-----------FNL---------__C77D_4.0.pdf,3,58.15,(23),,,,,,,,
23,Other,JPN,TAKAHASHI,Hiroatsu,,16,46.11,18,93.6,93.6,,22,113.4921,119.68,22,58.06,SKNMSINGLES-----------FNL---------__C77D_4.0.pdf,3,(21),,,,,,,,,
24,Other,CAN,BRUSIC,Josip,,46.01,20,93.11,23,(23),,112,24,119.12,24,58.14,SKNMSINGLES-----------FNL---------__C77D_4.0.pdf,3,(22),,,,,,,,,
12,Other,FEB,,Milano,ITA,,,,,,,,,,,,STKW500M--------------FNL---------__C73A_1.0.pdf,1,,,,,,,,,,
